bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,three_white_soldiers,three_black_crows,harami,piercing_line,dark_cloud_cover,abandoned_baby,moving_averages,bollinger_bands,keltner_channels,donchian_channels,parabolic_sar,rsi,stochastic,macd,williams_r,cci,obv,ad_line,mfi,cmf,vpt,awesome_oscillator,momentum,roc,rvi,atr,bbw,kcw,elder_ray,supertrend,demark,volume_delta,volume_ratio,volume_price_conf,volume_weighted,head_and_shoulders,double_patterns,volume_profile,fibonacci_tools,gann_tools
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,107.07582856080082,43.98559423769506,,,-88.27759798633588,,-300023264.0,232031726.24959356,26.60623314412929,0.19569660200693406,-5466815.616436091,,-5.010000000000019,-2.2007467603777813,0.05891377723227986,7.676428571428575,12.002130125539267,12.858409186750016,,,,99037797.43205944,0.844040845035017,-38710858.82928582,,,,244.0966666666667,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,112.68039541836879,52.399428221360004,,,-61.88421431139881,,-231534959.0,217471220.46219194,28.946433211993067,0.15605679883326495,-3208891.799062752,,2.3499999999999943,1.032377103193777,0.05854279350938603,7.884285714285718,11.10067314011414,13.440726413777929,,,,119824964.34495449,1.0779559874728695,-2746694.323571495,,,,570822079.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,118.06077960163404,44.50110864745011,,,-68.06903991370012,,-303294006.0,149019704.68664068,32.08811890928774,0.07534121911358188,-3745571.3400663175,,-4.960000000000008,-2.126747277248953,0.09781688949060754,8.156428571428574,9.977351419902085,13.945498262654358,,,,31748812.515990987,0.866705867837567,-23511570.562142927,,,,252.09833333333336,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,123.22594841756867,55.003706449221646,,,-33.51312477526067,,-263462037.0,169683088.1634618,36.36908016388455,0.059298454329390765,-2068601.1214997682,,5.400000000000006,2.3228803716608617,0.16805463024650233,8.56714285714286,9.478670050380638,14.09834172812424,,,,16353112.356448293,1.025219163817245,5955141.301428543,,,,330664016.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,128.18451048086592,50.412229474407404,,,-50.017979144192715,,-302897326.0,147750584.96620154,36.56620720388346,0.00393410633023578,-2829554.4847233784,,0.47999999999998977,0.20618556701030485,0.05843706777316727,8.490000000000006,9.237880706355666,13.629001758189743,,,,-46056503.77599736,0.85678412399491,-8036300.544285792,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,132.94473006163128,55.857011915673695,,,-45.99065084501974,,-253266599.0,191967050.83892918,37.4510762987553,0.02937348937390228,-2591272.5306767384,,6.390000000000015,2.8025086619008004,-0.0591649503838232,8.336428571428574,9.312398395883994,13.298051590528774,,,,16157609.481722273,1.1150614640060525,20932242.803571474,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,137.51454085916603,50.8671699653132,,,-18.40261560018682,,-191555740.0,196621221.7690967,34.50709843951843,0.05266268783744809,-1946257.152903704,,0.8499999999999943,0.3601694915254213,-0.23206106870229012,7.477857142857145,9.45474010333668,13.42492079979601,,,,84250189.88534433,1.024471836782967,-25953361.512857217,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,141.9015592247994,54.79632063074899,,,-4.151253596383143,,-153926799.0,213482277.29915094,39.82106231481718,0.09603972238366214,-1016853.2903324573,,5.109999999999985,2.1507639210404417,-0.18094135802469136,7.625714285714289,10.226805864995109,13.399032047878936,,,,144953801.9572981,0.9829805984101558,-16551030.222857248,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,146.1130968558074,52.74091171379111,,,-12.762705387848687,,-194782760.0,189357805.08962733,45.02360939955746,0.0592305263596449,-1099339.573356764,,2.8499999999999943,1.1906751336898371,-0.17676866107971087,7.507857142857146,10.90912291589598,13.199185479691828,,,,83118629.7990565,0.8028194973517186,-23731731.75357151,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,150.1561729815751,56.2779433681073,,,-8.336314847942795,,-149737194.0,183577139.2349058,52.43045770229609,0.024743324188010337,-580462.8583573848,,6.740000000000009,2.828842441030811,-0.24300528272353714,7.203571428571432,11.865578550993531,13.17403523966531,,,,32785108.25137134,1.0675926511877782,-8806342.029285697,,,,,,
